#,Question,Category,Level,Tags,Time,Answer Choices,IsAnswer
23,"What is printed to console.log?

var Animal = function (name) {
    this.name = name || ""Xiao"";
};
Animal.prototype.name = ""Animal"";

var Cat = function (name) {
    this.name = name || ""Gato"";
};
Cat.prototype = new Animal();
Cat.prototype.name = ""Cat"";

var c = new Cat(""Hans"");
delete c.name;
console.log(c.name);",Practical,Advanced,JavaScript,2 Minutes,Cat,Y
,,,,,,Gato,N
,,,,,,Hans,N
,,,,,,Animal,N
24,"What is printed to console.log?

var Animal = function (name) {
    this.name = name || ""Xiao"";
};
Animal.prototype.name = ""Animal"";

var Cat = function (name) {
    this.name = name || ""Gato"";
};
Cat.prototype = new Animal();
Cat.prototype.name = ""Cat"";

var c = new Cat(""Hans"");
delete c.name;
delete Cat.prototype.name
console.log(c.name);",Practical,Advanced,JavaScript,2 Minutes,Animal,Y
,,,,,,Cat,N
,,,,,,Gato,N
,,,,,,Hans,N
25,"What is printed to console.log?

var Animal = function (name) {
    this.name = name || ""Xiao"";
};

var Cat = function (name) {
    this.name = name || ""Gato"";
};
Cat.prototype = new Animal();

var c = new Cat(""Hans"");
delete c.name;
console.log(c.name);",Practical,Advanced,JavaScript,2 Minutes,Xiao,Y
,,,,,,Gato,N
,,,,,,Hans,N
,,,,,,undefined,N
