#,Question,Category,Level,Tags,Time,Answer Choices,IsAnswer
9,"What is printed to console.log?

class Animal {
    constructor(name) {
        this.name = name || ""Fido"";
    }
    toString() {
        return ""My name is: "" + this.name;
    }
}
var cat = new Animal();
console.log("""" + cat);",Practical,Intermediate,"JavaScript, ECMAScript 6",1 Minute,My name is: Fido,Y
,,,,,,[object Object],N
,,,,,,My name is: undefined,N
,,,,,,Error is thrown,N
10,"What is printed by console.log?

var f = function (x, ...y) {
  console.log(y);
}
f(1, 2, ""cat"", 3)",Practical,Intermediate,"JavaScript, ECMAScript 6",1 Minute,"[2, ""cat"", 3]",Y
,,,,,,"[1, 2, 3]",N
,,,,,,3,N
,,,,,,"[1, 2, ""cat"", 3]",N
11,"What is printed by console.log?

var f = function () {
    const x = 42;
    var a = 24;
    x = 100;
    console.log(a, x);
};",Practical,Intermediate,"JavaScript, ECMAScript 6",1 Minute,"Error thrown, console.log is not reached",Y
,,,,,,"24, 100",N
,,,,,,"24, 42",N
,,,,,,"24, undefined",N
12,"What will be printed by console.log?

var f = function*() {
    for (var i = 0; i < 10; i++) {
        yield i;
    }
};

var a = [];
for (var i of f()) {
    a.push(i);
}
console.log(a);",Practical,Intermediate,"JavaScript, ECMAScript 6",2 Minutes,"[ 0, 1, 2, 3, 4, 5, 6, 7, 8, 9 ]",Y
,,,,,,"[ 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 ]",N
,,,,,,[ 0 ],N
,,,,,,9,N
13,"What is printed to console.log?

var a = ""abc"";
for (let i of a) {
    console.log(i);
    break;
}",Practical,Intermediate,"JavaScript, ECMAScript 6",1 Minute,a,Y
,,,,,,abc,N
,,,,,,Error is thrown.,N
14,"Comparing Node.js to ECMAScript 6 modules, which of the answers is equivalent to the following in ECMAScript 6 specific syntax?

module.exports.test = function (i) { return i; };",Practical,Intermediate,"JavaScript, ECMAScript 6",1 Minute,export var test = function (i) { return i; };,Y
,,,,,,exports var test = function (i) { return i; };,N
,,,,,,exports.test = function (i) { return i; };,N
15,"What will be printed to console.log?

var s = new Set();
s.add(42);
s.add(""42"");
s.add(42);
console.log(s.size);",Practical,Intermediate,"JavaScript, ECMAScript 6",1 Minute,2,Y
,,,,,,3,N
,,,,,,1,N
,,,,,,undefined,N
16,"What will be printed to console.log?

var m = new Map();
m.set(42, ""Hello"");
m.set(""42"", ""World"");
console.log(m.get(42), m.get(""42""));",Practical,Intermediate,"JavaScript, ECMAScript 6",1 Minute,Hello World,Y
,,,,,,Hello Hello,N
,,,,,,World World,N
17,"What will be printed to console.log?

console.log(isNaN(""abc""), Number.isNaN(""abc""));",Practical,Intermediate,"JavaScript, ECMAScript 6",1 Minute,"true, false",Y
,,,,,,"true, true",N
,,,,,,"false, false",N
,,,,,,"false, true",N
18,"What will be printed to console.log?

var o = {
    i: 42
};
var p = {};
Object.assign(p, o);
console.log(o.i, p.i);",Practical,Intermediate,"JavaScript, ECMAScript 6",1 Minute,"42, 42",Y
,,,,,,"42, undefined",N
,,,,,,"undefined, undefined",N
,,,,,,Error is thrown.,N
19,"Starting in ECMAScript6, which of the answers is the equivalent of the following?

var f = function (a, b) {
    a = a || 42;
    b = b || 34;
    return a + b;
};",Practical,Intermediate,"JavaScript, ECMAScript 6",1 Minute,"var f = function (a=42, b=34) { return a + b };",Y
,,,,,,"var f = function (a (42), b (34)) { return a + b };",N
,,,,,,"var f = function (a default 42, b default 34) { return a + b };",N
,,,,,,Default parameter values are not a feature of ECMAScript 6.,N
20,"What is printed in console.log?

var s = ""Hello"";
console.log([...s]);",Practical,Intermediate,"JavaScript, ECMAScript 6",1 Minute,"[ 'H', 'e', 'l', 'l', 'o' ]",Y
,,,,,,Hello,N
,,,,,,[ 'Hello' ],N
,,,,,,Error is thrown.,N
21,"What is printed in console.log?

var o = {
    i: 42,
    j: 24
};
var { i, j } = o;
console.log(j, i);",Practical,Intermediate,"JavaScript, ECMAScript 6",1 Minute,"24, 42",Y
,,,,,,"42, 24",N
,,,,,,"undefined, undefined",N
,,,,,,Error is thrown.,N
22,"What is printed in console.log?

var o = {
    i: 42,
    j: 24
};
var { i: a, j: b } = o;
console.log(b, a);",Practical,Intermediate,"JavaScript, ECMAScript 6",1 Minute,"24, 42",Y
,,,,,,"42, 24",N
,,,,,,"undefined, undefined",N
,,,,,,Error is thrown.,N
23,"What is printed to console.log?

var f = function([a, b, c]) {
    return a + b + c + 100;
};
var a = [1, 2, 3];
console.log(f(a));",Practical,Intermediate,"JavaScript, ECMAScript 6",1 Minute,106,Y
,,,,,,Error is thrown.,N
,,,,,,undefined,N
,,,,,,NaN,N
24,"What is printed to console.log?

(function() {
    console.log(1);
    setTimeout(function(){console.log(2)}, 1000);
    setTimeout(function(){console.log(3)}, 0);
    console.log(4);
})();",Practical,Advanced,JavaScript,2 Minutes,1 then 4 then 3 then 2,Y
,,,,,,1 then 3 then 4 then 2,N
,,,,,,1 then 2 then 3 then 4,N
,,,,,,1 then 3 then 2 then 4,N
25,"What is printed to console.log?

(function() {
    var i = 0;
    var id = setTimeout(function () {
        i += 1;
        if (i <= 5) {
            setTimeout(arguments.callee, 10);
        }
    }, 10);
    console.log(i);
})();",Practical,Advanced,JavaScript,5 Minutes,0,Y
,,,,,,6,N
,,,,,,5,N
,,,,,,Error is thrown,N
26,"What is printed to console.log?

var Animal = function (color) {
    this.color = color || ""Brown"";
    this.speak = function () {
        console.log(this.color);
    };
};
var dog = new Animal(""Black"");
setTimeout(dog.speak, 10);",Practical,Advanced,JavaScript,2 Minutes,undefined,Y
,,,,,,Brown,N
,,,,,,Black,N
,,,,,,Error is thrown,N
27,"What is printed to console.log?

var n = 24;
var p = new Promise(function (resolve, reject) {
    resolve(100);
});
p.then(function (i) {
    n = i;
    return 42;
}).then(function (i) {
    n = i;
    throw new Error();
}).catch(function () {
    console.log(n);
});
console.log(n);",Practical,Advanced,"JavaScript, ECMAScript 6",2 Minutes,24 then 42,Y
,,,,,,24 then 100,N
,,,,,,42 then 24,N
,,,,,,100 then 24,N
28,"What is printed to console.log?

var n = 1;
var pgen = function () {
    n += 1;
    return Promise.resolve(n);
};
Promise.all([pgen(), pgen(), pgen()])
.then(function (answers) {
    console.log(answers[0], answers[1], answers[2]);
});",Practical,Advanced,"JavaScript, ECMAScript 6",2 Minutes,"2, 3, 4",Y
,,,,,,"0, 1, 2",N
,,,,,,"2, 1, 0",N
,,,,,,"1, 2, 3",N
29,"What is printed to console.log?

Promise.all([Promise.resolve(1), Promise.reject(new Error(""Error!"")), Promise.resolve(3)])
.then(function (answers) {
    console.log(answers[0], answers[1], answers[2]);
})
.catch(function (e) {
    console.log(e.message);
});",Practical,Advanced,"JavaScript, ECMAScript 6",2 Minutes,Error!,Y
,,,,,,1 Error! 3,N
,,,,,,"1, 3 then Error!",N
,,,,,,"1, 3",N
30,"What is printed to console.log?

var g = (function f(f){
   return f;
})(function(){ return 42; });
console.log(g(84));",Practical,Advanced,JavaScript,5 Minutes,42,Y
,,,,,,84,N
,,,,,,undefined,N
,,,,,,Error is thrown,N
31,"What is printed to console.log?

var wrap = function (f) {
    return function () {
        return 42 + f();
    };
};
var f = function () {
    return 42;
};
f = wrap(f);
console.log(f(100));",Practical,Advanced,JavaScript,5 Minutes,84,Y
,,,,,,42,N
,,,,,,184,N
,,,,,,100,N
32,"What is printed to console.log?

var wrap = function (f) {
    return function () {
        var args = Array.prototype.slice.call(arguments);
        args = args.reverse();
        return f.apply(null, args);
    };
};
var f = function (a, b, c) {
    return a * b + c;
};
f = wrap(f);
console.log(f(1, 2, 3));",Practical,Advanced,JavaScript,5 Minutes,7,Y
,,,,,,5,N
,,,,,,6,N
,,,,,,2,N
33,"What is printed to console.log?

var f = function () {
    return this.name;
};

var o = {
    name: ""Mo""
};

var o2 = {
    name: ""Mo Jr.""
};

var g = f.bind(o);
o2.name = g;
console.log(o2.name());",Practical,Advanced,JavaScript,5 Minutes,Mo,Y
,,,,,,Mo Jr.,N
,,,,,,undefined,N
,,,,,,Error is thrown,N
34,"What is printed to console.log?

var f = function (a, b) {
    return this.name + "" "" + a + "" "" + b;
};

var o = {
    name: ""Mo""
};

var g = f.bind(o, ""says"", ""hi"");
console.log(g());",Practical,Advanced,JavaScript,5 Minutes,Mo says hi,Y
,,,,,,Mo undefined undefined,N
,,,,,,Mo,N
,,,,,,Error is thrown,N
35,"What is printed to console.log?

var f = function () {
    if (!console) {
        var console = {};
        console.log = function () {
            return 42;
        }
    }
    console.log(100);
};
f();",Practical,Advanced,JavaScript,2 Minutes,undefined,Y
,,,,,,100,N
,,,,,,42,N
,,,,,,Error is thrown,N
36,"What is printed to console.log?

var f = function (i) {
    return function (i) {
        return i;
    };
};

var g = f(42);
console.log(g(84));",Practical,Advanced,JavaScript,2 Minutes,84,Y
,,,,,,42,N
,,,,,,undefined,N
,,,,,,Error is thrown,N
37,"What is printed to console.log?

var Animal = function (name) {
    this.name = name || ""Fido"";
    this.speak = () => this.name;
};

var dog = new Animal();

var otherDog = {
    name: ""Not Fido"",
    speak: dog.speak
};
console.log(otherDog.speak());",Practical,Advanced,"JavaScript, ECMAScript 6",2 Minutes,Fido,Y
,,,,,,Not Fido,N
,,,,,,undefined,N
,,,,,,Error is thrown,N
38,"What is printed to console.log?

var x = 42;
(function () {
    var x = 24;
    var f = function () {
        x = 84;
    };
    (function () {
        f();
        console.log(x);
    })();
})();
console.log(x);",Practical,Advanced,JavaScript,2 Minutes,84 then 42,Y
,,,,,,42 then 84,N
,,,,,,42 then 42,N
,,,,,,24 then 42,N
39,"What is printed to console.log?

(function () {
    for (var i = 0; i < 10; i++) {
        var a = i;
    }
    console.log(i);
})();",Practical,Advanced,JavaScript,2 Minutes,10,Y
,,,,,,0,N
,,,,,,Error is thrown,N
,,,,,,undefined,N
40,"What is printed to console.log?

var n = null;
var u = undefined;
var f = function () {};
console.log(typeof n, typeof u, typeof f);",Practical,Advanced,JavaScript,2 Minutes,object undefined function,Y
,,,,,,null undefined function,N
,,,,,,object undefined object,N
,,,,,,null object function,N
41,"Assuming a browser environment, what is printed to console.log?

window.onload = function () {
    console.log(42);
};
var ev1 = function () {
    console.log(84);
};
window.addEventListener(""load"", ev1);",Practical,Advanced,JavaScript,2 Minutes,"42, 84",Y
,,,,,,42,N
,,,,,,84,N
,,,,,,"84, 42",N
42,"Assuming a browser environment, what is printed to console.log?

window.onload = function () {
    console.log(42);
};
var ev1 = function () {
    this.removeEventListener(""load"", ev2);
};
var ev2 = function () {
    console.log(84);
}
window.addEventListener(""load"", ev1);
window.addEventListener(""load"", ev2);",Practical,Advanced,JavaScript,2 Minutes,42,Y
,,,,,,"42, 84",N
,,,,,,84,N
,,,,,,"84, 42",N
43,"What is printed to console.log?

var i = 42;
var j = NaN;
var k = 84;
var s = (function () {
    if (j > 0) {
        return i + j + k;
    } else {
        return i + k;
    }
})();
console.log(s);",Practical,Advanced,JavaScript,2 Minutes,126,Y
,,,,,,42NaN84,N
,,,,,,4284,N
,,,,,,NaN,N
44,"What is printed to console.log?

var Animal = function (name) {
    this.name = name || ""Fido"";
};
var methods = {
    speak: function () {
        return this.name || ""Cat"";
    }
};
var cat = new Animal(""Dog"");
for (var m in methods) {
    cat[m] = methods[m];
}
console.log(cat.speak());",Practical,Advanced,JavaScript,2 Minutes,Dog,Y
,,,,,,Cat,N
,,,,,,Fido,N
,,,,,,undefined,N
45,"What is printed to console.log?

var Animal = function (name) {
    this.name = name || ""Fido"";
};
Animal.prototype.speak = function () {
    return this.name;
};

var Cat = function (name) {
    Animal.call(this, name);
    name = name || ""Gato"";
};
Cat.prototype = new Animal();

var cat = new Cat(""Red"");
console.log(cat.speak());",Practical,Advanced,JavaScript,2 Minutes,Red,Y
,,,,,,Gato,N
,,,,,,Fido,N
,,,,,,undefined,N
46,"What is printed to console.log?

var Animal = function (name) {
    this.name = name || ""Fido"";
};
Animal.prototype.speak = function () {
    return this.name;
};

var Cat = function (name) {
    name = name || ""Gato"";
};
Cat.prototype = new Animal();

var cat = new Cat(""Red"");
console.log(cat.speak());",Practical,Advanced,JavaScript,2 Minutes,Fido,Y
,,,,,,Gato,N
,,,,,,Red,N
,,,,,,undefined,N
47,"What is printed to console.log?

var speech = function () {
    var args = Array.prototype.slice.call(arguments);
    var words = args.map(function (w, i) {
        return i % 2 === 0 ? ""CENSORED"" : w;
    });
    return words.join("" "");
};
console.log(speech(""Hello"", ""world"", ""what's"", ""up?""));",Practical,Advanced,JavaScript,2 Minutes,CENSORED world CENSORED up?,Y
,,,,,,Hello CENSORED what's CENSORED,N
,,,,,,Hello world what's up?,N
,,,,,,undefined undefined undefined undefined,N
48,"What is printed to console.log?

var speech = function () {
    var args = Array.prototype.slice.call(arguments);
    var words = args.filter(function (w, i) {
        return i % 2;
    });
    return words.join("" "");
};
console.log(speech(""Hello"", ""world"", ""what's"", ""up?""));",Practical,Advanced,JavaScript,2 Minutes,world up?,Y
,,,,,,Hello what's,N
,,,,,,Hello world what's up?,N
,,,,,,Hello world,N
49,"Assuming a browser environment, what is printed to console.log?

var Animal = function () {
    this.name = ""Fido"";
};
var dog = Animal();
console.log(window.name, dog);",Practical,Advanced,JavaScript,2 Minutes,Fido undefined,Y
,,,,,,undefined undefined,N
,,,,,,undefined Fido,N
,,,,,,Error,N
