#,Question,Category,Level,Tags,Time,Answer Choices,IsAnswer
0,What is a statement that could be used to describe closure in JavaScript?,Theory,Intermediate,JavaScript,1 Minuteute,Functions defined within another function have access to variables declared in the outer scope.,Y
15,"Which statement is most correct when describing the differences between:

// Function Declaration
function f () {
    return 42;
}

and:

// Function Expression
var f = function () {
    return 42;
};",Practical,Intermediate,JavaScript,1 Minute,The Function Declaration is hoisted and can be defined before being used.,Y
,,,,,,There is no difference.,N
,,,,,,The results of typeof of the Function Expression is 'function' while the typeof of the Function Declaration is 'object'.,N
16,"What is the value printed by console.log?

var f = function () {
    return function () {
        return 42;
    };
};
console.log(f()());",Practical,Intermediate,JavaScript,1 Minute,42,Y
,,,,,,Error,N
,,,,,,undefined,N
17,"What is the value printed by console.log?

var f = function (a, b, c) {
    console.log(a, b, c)
};
f(1, 2);",Practical,Intermediate,JavaScript,1 Minute,"1, 2, undefined",Y
,,,,,,"1, 2",N
,,,,,,Error,N
18,"What is the value printed by console.log?

var f = function (a, b, c) {
    console.log(a, b, c)
};
f(1, 2, 3, 4);",Practical,Intermediate,JavaScript,1 Minute,"1, 2, 3",Y
,,,,,,"1, 2, 3, 4",N
,,,,,,Error,N
19,"What is the value printed by console.log?

var f = function (g) {
    return g(5, 4);
};
var g = function(n) {
    console.log(n);
};
f(g);",Practical,Intermediate,JavaScript,1 Minute,5,Y
,,,,,,"5, 4",N
,,,,,,undefined,N
,,,,,,Error,N
20,"What is the value printed by console.log?

var f = function (g) {
    return function () {
        return g(42);
    };
};
var g = function (n) {
    return n + 42;
};
var h = f(g);
console.log(h());",Practical,Intermediate,JavaScript,2 Minutes,84,Y
,,,,,,42,N
,,,,,,undefined,N
,,,,,,Error,N
21,"What is the value printed by console.log?

var f = function (g) {
    g(42);
};
var g = function (n) {
    return n + 42;
};
var h = f(g);
console.log(h());",Practical,Intermediate,JavaScript,2 Minutes,Error,Y
,,,,,,84,N
,,,,,,42,N
,,,,,,undefined,N
22,"Disregarding whether or not this is a good practice, what is the value printed by console.log?

Object.prototype._color = 'green';
var Cat = function (color) {
    color = color || this._color;
    this.color = function () {
        return color;
    };
};
var tom = new Cat();
console.log(tom.color());",Practical,Intermediate,JavaScript,2 Minutes,green,Y
,,,,,,Error,N
,,,,,,undefined,N
23,"What will be printed by console.log?

var Animal = function (name) {
    this.name = name || ""blah"";
};
Animal.prototype.speak = function () {
    return ""My name is: "" + this.name;
};

var Cat = function (name) {
    this.name = name || ""Tom"";
};
Cat.prototype = new Animal();

var c = new Cat();
console.log(c.speak());",Practical,Intermediate,JavaScript,2 Minutes,My name is: Tom,Y
,,,,,,My name is: blah,N
,,,,,,undefined,N
,,,,,,Error,N
24,"What will be printed by console.log?

var Animal = function (name) {
    this.name = name || ""blah"";
};
Animal.prototype.speak = function () {
    return ""My name is: "" + this.name;
};

var Cat = function (name) {
    this.name = name || ""Tom"";
};
Cat.prototype = new Animal();
Cat.prototype.speak = function () {
    return this.name + "" says meow!"";
};

var c = new Cat();
console.log(c.speak());",Practical,Intermediate,JavaScript,2 Minutes,Tom says meow!,Y
,,,,,,My name is: Tom,N
,,,,,,My name is: blah,N
,,,,,,undefined,N
25,"What will be printed by console.log?

var Animal = function (name) {
    this.name = name || ""blah"";
};
Animal.prototype.speak = function () {
    return ""My name is: "" + this.name;
};

var Cat = function () {};
Cat.prototype = new Animal();
Cat.prototype.speak = function () {
    return this.name + "" says meow!"";
};

var c = new Cat(""Tom"");
console.log(c.speak());",Practical,Intermediate,JavaScript,2 Minutes,blah says meow!,Y
,,,,,,My name is: Tom,N
,,,,,,My name is: blah,N
,,,,,,Tom says meow!,N
26,"What will be printed by console.log?

var Animal = function (name) {
    this.name = name || ""blah"";
};
Animal.prototype.speak = function () {
    return ""My name is: "" + this.name;
};

var Cat = function () {};
Cat.prototype = new Animal();
Cat.speak = function () {
    return this.name + "" says meow!"";
};

var c = new Cat(""Tom"");
console.log(c.speak());",Practical,Intermediate,JavaScript,2 Minutes,My name is: blah,Y
,,,,,,blah says meow!,N
,,,,,,My name is: Tom,N
,,,,,,Tom says meow!,N
27,"What is the value of printed by console.log?

var x = 10;
var f = function () {
    x = 42;
};
f();
console.log(x);",Practical,Intermediate,JavaScript,1 Minute,42,Y
,,,,,,10,N
,,,,,,undefined,N
,,,,,,Error,N
28,"What is the value printed by console.log?

var x = 10;
var f = function () {
    var x = 42;
};
f();
console.log(x);",Practical,Intermediate,JavaScript,1 Minute,10,Y
,,,,,,42,N
,,,,,,undefined,N
,,,,,,Error,N
29,"What is the value printed by console.log when the code is run in the browser?

var x = 10;
var f = function () {
    var x = 42;
    console.log(window.x);
};
f();",Practical,Intermediate,"JavaScript, Browser",1 Minute,10,Y
,,,,,,42,N
,,,,,,undefined,N
,,,,,,Error,N
30,"What is the value printed by console.log when the code is run?

var x = 10;
var f = function (x) {
    x = 42;
    return x;
};
f();
console.log(x);",Practical,Intermediate,JavaScript,1 Minute,10,Y
,,,,,,42,N
,,,,,,undefined,N
,,,,,,Error,N
31,"What is the value printed by console.log when the code is run?

var x = 10;
var f = function () {
    var x = 42;
    (function() {
        x = 84;
    })();
    console.log(x);
};
f();",Practical,Intermediate,JavaScript,2 Minutes,84,Y
,,,,,,42,N
,,,,,,10,N
,,,,,,undefined,N
32,"What is the value printed by console.log when the code is run?

var x = {};
var f = function (y) {
    y.test = 42;
};
f(x);
console.log(x.test)",Practical,Intermediate,JavaScript,1 Minute,42,Y
,,,,,,Error,N
,,,,,,undefined,N
,,,,,,null,N
33,"What is the value printed by console.log when the code is run?

var x = {};
var f = function (y) {
    y = {}
    y.test = 42;
};
f(x);
console.log(x.test)",Practical,Intermediate,JavaScript,1 Minute,undefined,Y
,,,,,,42,N
,,,,,,Error,N
,,,,,,null,N
34,"What is the value printed by console.log when the code is run?

for (var i = 0; i < 10; i++) {
    /* pretend code exists here */
}
console.log(i)",Practical,Intermediate,JavaScript,1 Minute,10,Y
,,,,,,9,N
,,,,,,Error,N
,,,,,,undefined,N
35,"What is the value printed by console.log when the code is run?

for (let i = 0; i < 10; i++) {
    /* pretend code exists here */
}
console.log(i)",Practical,Intermediate,JavaScript,1 Minute,Error,Y
,,,,,,0,N
,,,,,,10,N
,,,,,,undefined,N
36,"What is the value printed by console.log?

var x = [1, 2, 3];
var y = x.slice(1);
x[1] = 4;
console.log(y);",Practical,Intermediate,JavaScript,1 Minute,"[2, 3]",Y
,,,,,,"[1, 2, 3]",N
,,,,,,"[1, 4, 3]",N
,,,,,,"[4, 3]",N
37,"What is the value printed by console.log?

var x = [1, 2, 3];
x.shift();
x.unshift(0);
x.pop();
x.push(4);
console.log(x);",Practical,Intermediate,JavaScript,1 Minute,"[0, 2, 4]",Y
,,,,,,"[1, 2, 3]",N
,,,,,,"[1, 3, 5]",N
,,,,,,"[0, 1, 2, 3, 4]",N
38,"What is printed in the console output?

var x = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10];
x.sort();
console.log(x);",Practical,Intermediate,JavaScript,1 Minute,"[1, 10, 2, 3, 4, 5, 6, 7, 8, 9]",Y
,,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",N
,,,,,,"[10, 1, 2, 3, 4, 5, 6, 7, 8, 9]",N
39,"What is the value printed by console.log?

var x = {a: 10, b: 10};
x.b += x.a;
var y = x;
y.b += x.a;
console.log(x.b);",Practical,Intermediate,JavaScript,2 Minutes,30,Y
,,,,,,20,N
,,,,,,10,N
,,,,,,40,N
40,"What is the value printed by console.log?

var x = {a: 10, b: 10};
console.log(x.toString());",Practical,Intermediate,JavaScript,2 Minutes,[object Object],Y
,,,,,,"""{a: 10, b: 10}""",N
,,,,,,"""10, 10""",N
,,,,,,Error,N
41,"What is the value printed by console.log?

var x = {a: 10, b: 10};
console.log(x.toString());",Practical,Intermediate,JavaScript,2 Minutes,[object Object],Y
,,,,,,"""{a: 10, b: 10}""",N
,,,,,,"""10, 10""",N
,,,,,,Error,N
42,"What is the value printed by console.log?

var a = 42 + ""42"";
console.log(a);",Practical,Intermediate,JavaScript,1 Minute,4242,Y
,,,,,,84,N
,,,,,,Error,N
,,,,,,42,N
43,"What is the value printed by console.log?

var a = 42 - ""42"";
console.log(a);",Practical,Intermediate,JavaScript,1 Minute,0,Y
,,,,,,4242,N
,,,,,,Error,N
,,,,,,42,N
44,"What is the value printed by console.log?

console.log(null == undefined);",Practical,Intermediate,JavaScript,1 Minute,0,Y
,,,,,,4242,N
,,,,,,Error,N
,,,,,,42,N
45,Which explanation is most correct about how '==' is different from '==='?,Practical,Intermediate,JavaScript,1 Minute,'===' checks value and type.,Y
,,,,,,'==' checks value and type.,N
,,,,,,'===' is not used in JavaScript.,N
46,Which of the following will throw an error in JavaScript Strict Mode?,Practical,Intermediate,JavaScript,1 Minute,Assigning a value to an undeclared variable will throw an error.,Y
,,,,,,Creating objects with new Object().,N
,,,,,,Accessing the arguments object.,N
47,"What is printed to console.log?

console.log(parseInt(""123.45""));",Practical,Intermediate,JavaScript,1 Minute,123,Y
,,,,,,123.45,N
,,,,,,undefined,N
48,"What is printed to console.log?

console.log(isNaN(""42""));",Practical,Intermediate,JavaScript,1 Minute,false,Y
,,,,,,true,N
49,"What is printed to console.log?

var s = ""hello how are you?"";
s.replace(""hello"", ""mellow"");
console.log(s);",Practical,Intermediate,JavaScript,1 Minute,hello how are you?,Y
,,,,,,mellow how are you?,N
50,"What is printed to console.log?

var a = [1, 2, 3, 4];
a = a.map(function (i) {
    return i % 2;
});
console.log(a);",Practical,Intermediate,JavaScript,1 Minute,"[1, 0, 1, 0]",Y
,,,,,,"[1, 3]",N
,,,,,,"[1, 2, 3, 4]",N
,,,,,,10,N
51,"What is printed to console.log?

var a = [1, 2, 3, 4];
a = a.filter(function (i) {
    return i % 2;
});
console.log(a);",Practical,Intermediate,JavaScript,1 Minute,"[1, 3]",Y
,,,,,,"[1, 2, 3, 4]",N
,,,,,,"[1, 0, 3, 0]",N
,,,,,,10,N
52,"What is printed to console.log?

var a = [1, 2, 3, 4];
a = a.reduce(function (a, b) {
    return a + b;
}, 1);
console.log(a);",Practical,Intermediate,JavaScript,1 Minute,11,Y
,,,,,,"[1, 2, 3, 4]",N
,,,,,,10,N
